ID,Title,Author_ID,genre,publishedAt,pages,price,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
9852731a-51f5-45cb-992b-568e5aea7663,The God of Small Things,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2010-08-22,82,2998.30,50,A,2004-02-28T00:00:00.000Z,John Doe,2016-02-26T00:00:00.000Z,Jane Doe
98527320-f5db-43a9-a6cc-b66e1e9b9b62,Swami and Friends,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2006-03-17,27,6437.88,5,L,2017-11-18T00:00:00.000Z,Emily Smith,2013-08-09T00:00:00.000Z,Michael Smith
9852733a-15bb-4b75-96c3-68cff151fab1,The Alchemist,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2014-05-27,76,5849.07,0,U,2011-12-13T00:00:00.000Z,Alice Brown,2008-04-27T00:00:00.000Z,Bob Brown
9852734d-1af6-442a-8143-dc3cf77aebfc,The Immortals of Meluha,26108981-8549-4283-8cfc-24d79e3839d3,Mythology,2022-11-10,68,6559.71,30,A,2019-05-15T00:00:00.000Z,David Lee,2010-07-21T00:00:00.000Z,Sarah Lee
98527356-8ae4-453b-bca4-261fb49c34ba,White Tiger,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2015-04-25,93,2083.85,2,L,2022-12-10T00:00:00.000Z,Chris Green,2004-06-11T00:00:00.000Z,Mary Green
98527361-d6d7-4832-bfed-9965e7985342,Midnight's Children,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2019-02-03,11,8303.36,0,U,2023-01-18T00:00:00.000Z,Kevin White,2002-11-15T00:00:00.000Z,Laura White
98527377-c43a-490d-8c09-7a38f4fbba6d,Kane and Abel,26108981-8549-4283-8cfc-24d79e3839d3,Fiction,2009-10-30,82,1026.60,25,A,2010-10-10T00:00:00.000Z,Nina Black,2002-05-20T00:00:00.000Z,Tom Black
98527386-ae85-4f8e-9d5c-9c92b4ee4e74,Harry Potter and the Philosopher's Stone,26108981-8549-4283-8cfc-24d79e3839d3,Fantasy,2020-01-16,64,9945.08,3,L,2021-06-05T00:00:00.000Z,Olivia Gray,2010-06-02T00:00:00.000Z,James Gray
98527396-3618-4d21-9f9d-e53296195f8a,Dog Man,26108981-8549-4283-8cfc-24d79e3839d3,Kids,2019-11-08,89,6183.36,0,U,2018-02-26T00:00:00.000Z,Daniel Blue,2004-03-14T00:00:00.000Z,Sophia Blue
9852740c-1dbb-4aae-a5af-62e07bf4b52a,The Da Vinci Code,26108981-8549-4283-8cfc-24d79e3839d3,Mystery,2007-10-24,13,1176.63,10,A,2021-12-01T00:00:00.000Z,Emma Violet,2020-02-23T00:00:00.000Z,Liam Violet
